Poll source,Date,Samplesize[b],Marginof error,DonaldTrumpRepublican,JoeBidenDemocratic,JoJorgensenLibertarian,HowieHawkinsGreen,Other,Abstention,Undecided,Lead
SurveyMonkey/Axios,"Oct 24–29, 2018","3,064",–,44%,53%,–,3%,9%
Morning Consult,"Aug 16–18, 2018","1,974",± 2.0%,31%,43%,–,26%,12%
Morning Consult,"Jul 26–30, 2018","1,993",± 2.0%,37%,44%,–,19%,7%
Public Policy Polling,"Jun 8–10, 2018",679,± 3.8%,39%,53%,–,8%,14%
Zogby Analytics,"May 10–12, 2018",881,± 3.2%,38%,48%,–,14%,10%
Public Policy Polling,"Mar 23–25, 2018",846,± 3.4%,39%,56%,–,6%,17%
Public Policy Polling,"Feb 9–11, 2018",687,± 3.7%,42%,51%,–,7%,9%
CNN/SSRS,"Jan 14–18, 2018",913,± 3.8%,40%,57%,1%,1%,17%
Zogby Analytics,"Jan 12–15, 2018",847,± 3.4%,38%,53%,–,9%,15%
Public Policy Polling,"Dec 11–12, 2017",862,± 3.3%,40%,54%,–,6%,14%
Morning Consult,"Nov 9–11, 2017","1,993",± 2.0%,35%,46%,–,20%,11%
Public Policy Polling,"Oct 27–29, 2017",572,± 4.1%,38%,56%,–,6%,16%
Zogby Analytics,"Oct 19–25, 2017","1,514",± 2.5%,41%,50%,–,9%,9%
Emerson College,"Oct 12–14, 2017",820,± 3.4%,42%,51%,–,7%,9%
Public Policy Polling,"Sep 22–25, 2017",865,± 3.3%,40%,53%,–,6%,13%
Public Policy Polling,"Aug 18–21, 2017",887,± 3.3%,39%,51%,–,11%,12%
Public Policy Polling,"Jul 14–17, 2017",836,± 3.4%,39%,54%,–,7%,15%
Public Policy Polling,"Jun 9–11, 2017",811,± 3.4%,41%,54%,–,5%,14%
Public Policy Polling,"May 12–14, 2017",692,± 3.7%,40%,54%,–,6%,14%
Public Policy Polling,"Apr 17–18, 2017",648,± 3.9%,40%,54%,–,6%,14%
Public Policy Polling,"Mar 27–28, 2017",677,± 3.8%,40%,54%,–,6%,14%
